"Exports and imports of goods and services, quarterly, Canada, (NAPCS 2017) (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 12-10-0134-01"
"Release date: 2023-02-28"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trade","Imports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total goods and services","586,368","586,529","592,853","590,798","597,753","603,976","601,350","602,423","598,906","619,152","621,680","626,645","623,740","625,307","617,785","618,082","619,638","621,360","628,463","616,714","639,100","649,470","648,904","663,746","674,092","683,445","669,159","660,467","680,847","675,456","674,642","666,376","662,746","519,753","622,934","639,894","653,290","653,984","648,976","679,773","682,041","724,709","721,505","698,762"
"Total goods","472,932","474,004","477,900","475,852","482,748","488,594","486,768","488,450","484,076","500,657","503,480","508,185","504,566","502,920","497,313","497,170","498,588","498,591","506,135","493,572","514,237","525,501","520,727","533,909","539,293","548,628","534,552","527,230","543,436","539,815","538,397","526,417","518,853","420,361","521,588","534,644","543,426","541,379","530,493","553,297","557,102","590,925","585,936","566,036"
"Farm, fishing and intermediate food products","13,475","13,696","14,249","14,295","14,020","14,544","14,348","14,033","14,727","15,267","14,745","14,709","15,023","15,299","13,906","14,096","14,586","15,507","15,726","15,967","15,620","16,022","16,432","16,434","16,899","17,066","16,922","17,409","17,026","18,045","17,392","16,627","17,015","16,333","16,964","17,211","17,920","18,015","18,227","18,813","18,817","19,183","17,527","16,433"
"Farm and fishing products","10,834","10,963","11,344","11,374","11,082","11,926","11,414","11,589","11,955","12,224","11,824","11,938","12,261","12,460","11,319","11,428","11,799","12,803","12,729","12,991","12,749","13,106","13,454","13,579","13,896","14,130","14,183","14,600","14,156","15,015","14,585","13,893","14,155","13,537","13,833","13,933","14,973","14,965","15,078","15,594","15,213","15,597","14,477","13,315"
"Intermediate food products","2,641","2,733","2,905","2,921","2,941","2,601","2,929","2,417","2,757","3,045","2,921","2,745","2,725","2,805","2,557","2,649","2,773","2,653","2,969","2,941","2,833","2,873","2,933","2,797","2,949","2,877","2,677","2,745","2,813","2,969","2,745","2,677","2,805","2,745","3,089","3,245","2,889","2,993","3,093","3,161","3,553","3,533","3,009","3,065"
"Energy products","46,414","47,818","50,269","48,943","48,620","48,406","45,066","43,672","43,809","43,959","44,180","43,129","40,977","41,017","37,753","37,660","40,678","43,377","41,502","38,122","41,316","40,403","39,737","43,595","41,283","44,895","41,923","40,345","40,165","41,715","43,079","45,767","43,707","33,573","32,218","32,318","34,107","32,801","33,537","34,082","33,453","34,570","31,369","32,707"
"Crude oil and crude bitumen","30,028","30,172","32,156","32,528","29,900","27,272","27,372","25,316","23,432","23,388","23,588","22,504","19,400","20,524","18,060","17,572","20,396","22,996","21,196","18,844","23,176","22,636","19,880","23,500","20,860","21,424","22,084","19,624","20,844","22,304","21,384","23,188","23,268","18,288","15,328","16,688","16,708","15,756","16,004","14,620","15,848","14,464","13,604","12,764"
"Natural gas, natural gas liquids and related products","3,355","3,706","4,080","4,131","3,988","3,679","4,391","3,495","3,689","4,952","4,081","4,092","4,535","4,142","3,538","3,318","2,732","3,096","3,212","2,696","3,100","3,299","3,463","2,993","3,449","2,823","3,683","4,500","3,624","2,958","3,811","4,289","3,619","3,278","3,396","3,408","3,634","3,310","3,655","3,552","3,388","4,172","3,323","2,924"
"Coal","1,165","953","1,081","829","821","785","709","761","845","757","757","817","725","913","737","789","793","721","665","685","773","681","793","913","833","973","757","881","693","953","1,005","757","669","589","537","637","769","521","645","713","621","817","801","997"
