"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Trade","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","586368","","","","0"
"2012-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","586529","","","","0"
"2012-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","592853","","","","0"
"2012-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","590798","","","","0"
"2013-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","597753","","","","0"
"2013-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","603976","","","","0"
"2013-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","601350","","","","0"
"2013-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","602423","","","","0"
"2014-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","598906","","","","0"
"2014-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","619152","","","","0"
"2014-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","621680","","","","0"
"2014-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","626645","","","","0"
"2015-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","623740","","","","0"
"2015-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","625307","","","","0"
"2015-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","617785","","","","0"
